text,label
men and women are not equal.  irrational contrary belief and policy only result in mounting failure.,0
I'm very sad about this fucking situation with all this muslims,0
You look like someone who would do an electric wheelchair race with Stephen Hawking.,0
"You can ask me to call you a male, but you'll always be a woman",0
"Yo, if I'm going to hell for being homosexual, why did god make me like this?",0
"Why are people so dumb? The police were yelling at everyone to get out of the area yet people just stood there or recorded, guess they want to die.",0
White police officers are always the victims.,0
WHAT THE FUCK IS THIS ??!????! Disgusting! Absolutely disgusted and disappointed in Today's America.,0
Well..congratulations u loose one of ur subscriber.... shame on u guys u guys sick.,0
We need to exterminate people that subject children to such Perversion,0
We are repeating our past before it used to Germany and Jews now its China and Muslims,0
"Trumps a liar and an idiot, a douche bag , Narcissist, and Zionist boot licker.",0
"Those illegals want to sue the company for money owed. What about the money they owe† America. It cost money to educated, medical care, welfare, ect.",0
"this women has to be some sort of psychopath but it goes both ways, if either a male or a female are in a toxic relationship they need to get help, the sooner the better.",0
This people are treating women like dogs!!!!!!,0
This fuckhead makes me ashamed of being Jewish. Shit people like him are destroying everything †,0
This cop had to get him under arrest for walking like that freely out in public. Problematics must be stay home locked. Sue her parents.,0
They'll get to know homosexuality anyways. I don't get what's wrong with most of the people nowadays. If you don't teach about homosexuality then stop teaching about heterosexuality also.,0
"there's nowhere in the world where woman are equal. how about in all the places where they are president or prime minister or queen... how about in America, Australia, Canada, Britain, Scandinavia, France... shall I go on? Like honestly woman u live in an equal world. Stop being so self-obsessed and stop refusing to look at the facts. Women are already equal to men and have been for a long time.",0
There was one facility opened in the US to provide shelter for abused men. Feminist protested until it was closed. Now there are none.,0
"There is more history of men hitting women with no provocations. So, that is where the ""no hitting women"" comes from. Ijs...let's be real. However, I have never hit a man or kicked him in the balls. I'm from the school of ""you hit me, imma hit you back""! Man, woman, child you can get it. And trust ima TRY to hit you harder than you hit me bc, you dont want this smoke. However, I do not stand with women hitting men and not EXPECTING retaliation. That's wack. Put your grown panties on and take the consequences. Slaps, punches and especially ball kicking should only be used to get away from an attack, not a reason to prove your point or your emotions.¬† I dont think this is about equality bc men/women can be douches! This is about an equal response to a unprovoked attack against ANY GENDER.",0
There are the most Evil realigion than Cristian right now Europe american and Asia and Australia as puertorican they are discusting mind craquers as a San Bernardian bravo Mr president,0
The wheelchaired woman was actually scary,0
The safest most civilised society in the world - Japan - has banned Islam.. coincidence?,0
"The rotten, nasty bastards!",0
The next time I like up in front of one like him I will shout to his left ear that he is a trash and worthless! HAHAHHAA. I know I'm a bad man. IM BADMAN,0
Thanks god at least you have music to pale the pain being blind. Oh what you can't hear too. Haha,0
"Sorry but black Americans are more in danger than homosexuals. Homosexuals have so much privilege now. More than African Americans, Latinos, Arabs.",0
"Something I hate about being bisexual..people always say your either gay or your straight,bisexual isn't a real thing SHUT DA FUQ UP IT IS A REAL THING",0
Should have been sterilised upon arrival. Now your future doesn't exist.,0
She said she is crazy loving her God. Well she is literally crazy then. I can relief her of her life.,0
Send em home in a metal crate. They're on probation for 20 years. Crime? Straight home. Too many kids? Straight home. Bye.,0
Poor women,0
People with barbaric cultures and desert religions are all the same.,0
"People who say ""YAAAASSSS QUEEN"" should be sterilised",0
People changing their genders left and right and i cant even decide on a tattoo,0
"People are genuinely good, we just learned to hate. when Europe was all white and christian they killed each other, the same happened to the Muslim world",0
Now where are the feminists accusing of woman as demons abusing women all the time??,0
Now the sea is filled with disgusting dead filth like them. Ruined my Mediterranean vacations,0
Michael Jackson sick man and sick fans.,0
LOVE IS LOVE!!! God excepts everyone. And when I mean everyone I mean everyone I'm a Christian and pan sexual I respect every single person in the lgbtq+ community.,0
Lol I'm Korean and most of the Koreans I know do not look anything like that drawing... Many don' have square faces.. You can see the diversity of Korean faces when the answers are revealed at the end. I find this video esp. the initial commentary to be pretty biased as it's ethnically Chinese people telling YouTube how to tell Asians apart. Asians are some of the most racist people to other Asians...,0
Lesbian chewbacca,0
"Just shoot her, one less of them to have to deal with in the future.",0
It's not genderless they just look like GIRLS,0
Isn't it awkward that only women work on public services? #lowIQ,0
Is this guy actually autistic or Is he faking it,0
In that case we should hire more women. Because we can them lesser and get a profit.,0
If you are not masculine then you are woman dude,0
"If you are a fking queen, you can move in any direction. So please move away from the camera that was used to take this picture. That applies to every women",0
"If white people are gone from this earth, we will go directly back to stone age. Not even kidding",0
